time,bus1.v_a,bus1.v_b,bus1.v_c,bus2.v_a,bus2.v_b,bus2.v_c,line1.i_a,line1.i_b,line1.i_c
0.015139999999999872,141.74523359614219,-149.88482003176455,7.9410199588226451,130.45840217903532,-157.40177239544687,2.5840727230909284,6.2056455756498865,-12.917329083323835,8.6973510081283028
0.015159999999999871,142.43175284347896,-149.29859915128841,6.6691838597152167,134.24244896036089,-158.11410364402587,0.076762481835504451,6.2643545437668307,-12.922812043825123,8.6350851370869091
0.015179999999999871,143.1077328724553,-148.70264813460545,5.3982109336700672,127.20564630796727,-151.98255899647941,4.4043064436165382,6.3471386947400568,-12.939990928477402,8.5598977868458785
0.01519999999999987,143.77435107320173,-148.09756356014219,4.1276113358002426,135.62025935553302,-152.33854025837067,2.2354417836096405,6.4418152550054852,-12.963230120165774,8.4774279582530632
0.015219999999999869,144.43650331924897,-147.48581041255289,2.8550265200076486,142.01515400550312,-150.78196439212979,1.970368070133665,6.4990528702756505,-12.968227485637147,8.4119810338613163
0.015239999999999868,145.08817814306258,-146.86441335943928,1.5835389377942373,136.6840889471471,-142.89131206994318,8.0306586992356479,6.5785922210338352,-12.985086629700767,8.3334568750573421
0.015259999999999867,145.73031706859652,-146.23388947921953,0.31273910984268188,145.71701281306767,-142.1945673513527,6.8884687086020824,6.6706272685044761,-13.008981104689077,8.2466855234523742
0.015279999999999867,146.36789410145326,-145.59678876300805,-0.9598148556557442,152.31475593258898,-140.77154271175505,6.4641051691416038,6.725057602841904,-13.014772992304772,8.1768083556427413
0.015299999999999866,146.99497374065101,-144.9502220247881,-2.231125213956779,146.01056389179905,-133.811282421778,11.568579205924593,6.8008788285324009,-13.031719028844861,8.0945723041892226
0.015319999999999865,147.61225857497573,-144.29463194934613,-3.5015256301822966,152.99327118638357,-134.7270609167694,8.788755532859696,6.8906884453507979,-13.055751022546682,8.0040493631222702
0.015339999999999864,148.22480008976569,-143.63264437628769,-4.7735324422432033,157.43485186107634,-135.78418190402516,5.8594529110536522,6.9436250050440274,-13.060986606787948,7.9311255646178065
0.015359999999999863,148.82675966285265,-142.96144373931855,-6.0442200851247403,148.39654721883119,-131.53420712600823,8.2291663335416469,7.017728954193597,-13.075961552537843,7.8472690074024687
0.015379999999999863,149.41862657489401,-142.28137597797667,-7.3138242834233518,152.32446242582964,-135.06076295243108,2.8144085508993428,7.1077486095213427,-13.097586873503245,7.755572686298299
0.015399999999999862,150.00554956139283,-141.5951106217795,-8.584903517645909,154.48205672012344,-138.7133187706869,-2.7341645281798828,7.1618607746976588,-13.099559887255031,7.6823431547454044
0.015419999999999861,150.58182366326426,-140.89987807126818,-9.8545770688147911,143.4934211917444,-136.40673171141944,-2.3313519475149564,7.2367857997962926,-13.109968380109098,7.5994966950155369
0.01543999999999986,151.14775491635692,-140.19590026022829,-11.122955083610147,145.93814179553382,-140.96929612324547,-8.8053090424662877,7.329116255929172,-13.126980751693642,7.508869120122676
0.015459999999999859,151.70860647936493,-139.48586150762054,-12.392609775623324,148.00451461877734,-145.01638345105135,-14.771279229564549,7.3859018277037878,-13.124157009165682,7.4369044974630691
